Row,Component_1,Component_2
lh_cuneus-rh_lateraloccipital,-6.19555615118847e-06,-5.51028442260626e-05
lh_cuneus-rh_lateralorbitofrontal,8.69446951891162e-06,-4.21532444461805e-05
lh_cuneus-rh_lingual,-8.35019598328084e-06,-3.37052546526277e-05
lh_cuneus-rh_medialorbitofrontal,1.26569339327439e-05,-2.00093134838436e-05
lh_cuneus-rh_middletemporal,2.27784523666655e-05,-1.08510088098226e-05
lh_cuneus-rh_parahippocampal,-3.12841385910644e-06,-5.33636910161178e-05
lh_cuneus-rh_paracentral,3.44958288479392e-06,-5.58149034825273e-05
lh_cuneus-rh_parsopercularis,2.4360965028511e-05,-1.31222056172256e-05
lh_cuneus-rh_parsorbitalis,1.92039786097723e-05,-1.88998941347179e-05
lh_cuneus-rh_parstriangularis,1.86732995654553e-05,-3.28772556213857e-05
lh_cuneus-rh_pericalcarine,4.31950626720819e-06,1.4893128030832e-05
lh_cuneus-rh_postcentral,8.36838682437548e-07,-4.7249331803895e-05
lh_cuneus-rh_posteriorcingulate,-3.3479991651464e-06,-3.70823898106207e-05
lh_cuneus-rh_precentral,1.96253927632354e-05,-3.28855938376972e-05
lh_cuneus-rh_precuneus,1.99207177214471e-05,7.86541089032697e-07
lh_cuneus-rh_rostralanteriorcingulate,3.78764877870026e-07,-2.03950605255345e-05
lh_cuneus-rh_rostralmiddlefrontal,1.91786322669051e-05,-1.84036567770605e-05
lh_cuneus-rh_superiorfrontal,3.48395851888796e-05,2.42101847914074e-05
lh_cuneus-rh_superiorparietal,9.96975567139912e-06,-2.39955694411091e-05
lh_cuneus-rh_superiortemporal,2.57690201353442e-05,-1.3402427961251e-06
lh_cuneus-rh_supramarginal,2.27441258396537e-05,-1.65368372238775e-05
lh_cuneus-rh_frontalpole,-4.67742342055943e-06,-4.71262815777902e-05
lh_cuneus-rh_temporalpole,2.53967867001577e-05,2.46021253678318e-06
lh_cuneus-rh_transversetemporal,-2.54025854533697e-06,-5.01185051561067e-06
lh_cuneus-rh_insula,1.98036621583625e-05,7.23746719571706e-06
lh_entorhinal-lh_fusiform,-2.20506687204324e-05,-5.10747917345459e-05
lh_entorhinal-lh_inferiorparietal,-3.82453593102701e-08,2.72283255413321e-06
lh_entorhinal-lh_inferiortemporal,-1.5986774111985e-05,-2.7355236923777e-05
lh_entorhinal-lh_isthmuscingulate,1.28927573891557e-06,-8.82628051446432e-06
lh_entorhinal-lh_lateraloccipital,2.24813603193025e-05,4.38153272023555e-05
lh_entorhinal-lh_lateralorbitofrontal,-5.22541321139901e-06,-2.03546657846073e-06
lh_entorhinal-lh_lingual,1.52082810310435e-05,-2.24997411104106e-06
lh_entorhinal-lh_medialorbitofrontal,7.97443421923733e-06,2.27116641810412e-05
lh_entorhinal-lh_middletemporal,-1.89695931657998e-05,-4.87414946983917e-05
lh_entorhinal-lh_parahippocampal,-1.8678348070192e-05,-4.92441733208703e-05
lh_entorhinal-lh_paracentral,5.34052091706158e-06,2.74100484853684e-05
lh_entorhinal-lh_parsopercularis,-4.96578054769281e-06,-3.18879090950094e-06
lh_entorhinal-lh_parsorbitalis,1.98908897939019e-05,5.74228389538914e-05
lh_entorhinal-lh_parstriangularis,2.65309170368849e-06,4.40084043713699e-06
lh_entorhinal-lh_pericalcarine,2.83186200851845e-05,3.4801709553355e-05
lh_entorhinal-lh_postcentral,1.97650907474918e-05,5.03849917812297e-05
lh_entorhinal-lh_posteriorcingulate,-2.12520864650989e-05,-2.74001221748114e-05
lh_entorhinal-lh_precentral,-7.61661452079568e-06,-9.46393251822659e-06
lh_entorhinal-lh_precuneus,-4.94369780247917e-06,-1.81026929775436e-05
lh_entorhinal-lh_rostralanteriorcingulate,-3.01817504004226e-05,-4.61382724333856e-05
lh_entorhinal-lh_rostralmiddlefrontal,-9.9269229782954e-07,-8.70026240602041e-06
lh_entorhinal-lh_superiorfrontal,-8.90391218662515e-06,-2.79473921239604e-05
lh_entorhinal-lh_superiorparietal,1.54234172927357e-05,2.57138960965069e-05
lh_entorhinal-lh_superiortemporal,-1.54488917328165e-05,-3.41560361164333e-05
lh_entorhinal-lh_supramarginal,-5.51102100031261e-06,-7.78146256398233e-06
lh_entorhinal-lh_frontalpole,3.36363892397136e-05,0.000101912340446443
lh_entorhinal-lh_temporalpole,1.21856188911631e-05,3.03668279207268e-05
lh_entorhinal-lh_transversetemporal,-1.21913845965248e-05,-2.76300364440285e-05
lh_entorhinal-lh_insula,-1.90280759137232e-05,-6.19156072695001e-05
lh_entorhinal-rh_bankssts,-2.33518293624108e-05,-4.02263352387516e-05
lh_entorhinal-rh_caudalanteriorcingulate,-9.98770567433108e-06,7.04990578815544e-06
lh_entorhinal-rh_caudalmiddlefrontal,-3.48167859109133e-06,2.14790613076261e-06
lh_entorhinal-rh_cuneus,3.91165085362458e-05,4.48260851370834e-05
lh_entorhinal-rh_entorhinal,-4.03816776052905e-06,2.21081499500085e-05
lh_entorhinal-rh_fusiform,-2.41913140441655e-05,-5.59793040809954e-05
lh_entorhinal-rh_inferiorparietal,9.34540827165402e-07,7.97073050051629e-06
lh_entorhinal-rh_inferiortemporal,-2.28484431820879e-05,-5.47366146549822e-05
lh_entorhinal-rh_isthmuscingulate,-1.03591454187155e-06,-2.24014307838991e-05
lh_entorhinal-rh_lateraloccipital,1.70035672631179e-05,2.34382509645543e-05
lh_entorhinal-rh_lateralorbitofrontal,-9.4060088621999e-06,-1.75716165679853e-05
lh_entorhinal-rh_lingual,2.41715680152808e-05,1.7044064298516e-05
lh_entorhinal-rh_medialorbitofrontal,7.32665366982377e-06,1.51593086801615e-05
lh_entorhinal-rh_middletemporal,-1.75067427190118e-05,-3.79535382641115e-05
lh_entorhinal-rh_parahippocampal,-1.4440387024156e-05,-3.13410990061494e-05
lh_entorhinal-rh_paracentral,-8.76444031573134e-07,-9.78645565567117e-07
lh_entorhinal-rh_parsopercularis,1.14605892005089e-06,1.6142097199342e-05
lh_entorhinal-rh_parsorbitalis,2.19615192232541e-05,6.48197159559106e-05
lh_entorhinal-rh_parstriangularis,1.35949619848591e-05,3.89769594078508e-05
lh_entorhinal-rh_pericalcarine,3.30253157624211e-05,4.07131067733468e-05
lh_entorhinal-rh_postcentral,2.07698204138021e-05,4.29423389874864e-05
lh_entorhinal-rh_posteriorcingulate,-2.06798009098981e-05,-2.59371143335071e-05
