,Component_1,Component_2,Component_3,Component_4,Component_5
lh_bankssts-rh_precuneus,0.03300699575260874,-0.008342041509180583,0.005769560815428403,-0.010405147338021734,0.0010163134339670056
lh_bankssts-rh_rostralanteriorcingulate,0.03867492992099968,-0.0032439453885625344,-0.022716161521591765,-0.032061722933992454,-0.02157760006406536
lh_bankssts-rh_rostralmiddlefrontal,0.024793040111868933,-0.004603982398248901,0.004348884939726568,-0.004666090471186815,0.006494343032700881
lh_bankssts-rh_superiorfrontal,0.03988716697530978,-0.013837977628081777,0.0016240253854075076,-0.018513638282628437,-0.011088210822241894
lh_bankssts-rh_superiorparietal,0.01209952391289422,0.01747751236375628,-0.006118228251493699,-0.00501672258912841,0.02611389342804053
lh_bankssts-rh_superiortemporal,0.02858219569294712,-0.0012445491906845222,-0.0031116661152720414,-0.0005397345542481193,0.011692181879577799
lh_bankssts-rh_supramarginal,0.033915838296057106,-0.00689034356428908,-0.006769816484014005,-0.015577480657127923,-0.010330134393073107
lh_bankssts-rh_frontalpole,0.038566756242048916,-0.012254294380610632,0.0027016502042052056,-0.023115514672543438,0.0011211887189744708
lh_bankssts-rh_temporalpole,0.02097583654984979,0.01232253817821753,0.011104940386929038,-0.004506447928138777,-0.044902507691096716
lh_bankssts-rh_transversetemporal,0.008697258266073591,0.011865303800670865,-0.026996772944009567,-0.03724519083301404,-0.03227371724546979
lh_bankssts-rh_insula,0.006206877271834141,0.004607383164400478,-0.0014005374145562768,0.001819287916459202,-0.007433991059065741
lh_caudalanteriorcingulate-lh_caudalmiddlefrontal,0.013539843365740914,0.018081415522224285,-0.021380445239563856,0.044787113306374235,0.0006626501951239626
lh_caudalanteriorcingulate-lh_cuneus,0.030866862566962465,-0.01247733004444847,0.03285878119731563,-0.016958840170103236,-0.016299433827678674
lh_caudalanteriorcingulate-lh_entorhinal,0.028637169441495584,-0.003644002175827262,0.0036952969327710083,0.029325097937697202,-0.017958931675707356
lh_caudalanteriorcingulate-lh_fusiform,0.015166926736369254,0.01292399350756811,-0.0204238701959297,0.041814490720520625,-0.007720124049035785
lh_caudalanteriorcingulate-lh_inferiorparietal,0.01835744600222337,0.015013201498298559,-0.02506167047763544,0.035242772754389196,-0.010849351501115477
lh_caudalanteriorcingulate-lh_inferiortemporal,0.021341717664441942,0.010701669131915906,-0.018502603334290026,0.02848620137732237,-0.02397454281605433
lh_caudalanteriorcingulate-lh_isthmuscingulate,0.021012221954429536,-0.006638106666449006,-0.0004296578032548695,0.007734657614450891,-0.01060218194101406
lh_caudalanteriorcingulate-lh_lateraloccipital,0.031132295950929003,-0.0010071895282444036,-0.0030982182078904846,0.011797867081825994,-0.010770846671087391
lh_caudalanteriorcingulate-lh_lateralorbitofrontal,0.01706841811985615,0.011167476389403904,-0.022464756711580817,0.026322721127898522,-0.016763864970409163
lh_caudalanteriorcingulate-lh_lingual,0.02424847540657476,0.0020894717675403922,0.0006496654754563232,-0.0200035894282794,-0.02002999056351547
lh_caudalanteriorcingulate-lh_medialorbitofrontal,0.030617451170241474,0.0036987202284452414,-0.01460848042190791,0.01683574829406369,-0.024782297001182417
lh_caudalanteriorcingulate-lh_middletemporal,0.021921638493459426,0.01823182812154887,-0.03180982154360472,0.008265430067143293,-0.040373702837398745
lh_caudalanteriorcingulate-lh_parahippocampal,0.013449014914740803,0.023071398993860313,-0.03143286461265877,0.004823482924946698,-0.04220073229993563
lh_caudalanteriorcingulate-lh_paracentral,0.03278807745001013,0.0005234520002292074,-0.009099443154613744,0.038632442710136015,0.0005360105255580734
lh_caudalanteriorcingulate-lh_parsopercularis,0.010788766962236749,0.022496472761730234,-0.03337450761051527,0.027429676631527677,-0.01774566706989065
lh_caudalanteriorcingulate-lh_parsorbitalis,0.023385369857716932,0.017317415204923234,-0.02708227467176471,0.01986661522775952,-0.0033683985397724727
lh_caudalanteriorcingulate-lh_parstriangularis,0.02236259527233497,0.012736468347090768,-0.021332597660544825,0.03178535546779223,-0.011820460052424197
lh_caudalanteriorcingulate-lh_pericalcarine,0.004731216279304774,0.0065555157025649095,0.015677807167317155,-0.04651034368888823,-0.012754663332880426
lh_caudalanteriorcingulate-lh_postcentral,0.02990121717927412,0.005702810953575948,-0.006183297644336019,0.017599467430129096,-0.009791059805961892
