,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10
lh_caudalanteriorcingulate-rh_caudalmiddlefrontal,-0.008652863958500536,0.048048860291014836,0.00545700073168016,-0.04376918640231214,0.007386082270263921,0.00830402138595125,-0.025811570602449305,0.01593772891834565,-0.04020274373553434,0.013447653228629404
lh_caudalanteriorcingulate-rh_cuneus,-0.01013388225295229,-0.02087914729579157,-0.03621298607383608,0.007004136775752495,0.008082135747835997,0.006973066636063207,0.014442708120289359,-0.024022006546998466,-0.0013969323991458247,0.014235336476467738
lh_caudalanteriorcingulate-rh_entorhinal,-0.012734074020662848,0.03456928621799084,-0.00200566617993132,-0.01812249487431879,0.0038899787210102785,0.006194718008923531,-0.032786833358810066,0.00371105183858539,-0.023368628616740925,0.005448245461996707
lh_caudalanteriorcingulate-rh_fusiform,-0.018573277025150447,0.03136579483228516,-0.0013750875468673972,-0.047261487170864376,0.005206265210471329,0.011906453344043555,-0.032445468058557476,0.022013270345895727,-0.02115596638777822,0.027007554111778295
lh_caudalanteriorcingulate-rh_inferiorparietal,-0.018399623455893403,0.03812714654932515,-0.001564596502968905,-0.05151415548888092,0.0009091779672033954,0.007972179571383995,-0.02439727646355625,0.020094800732474716,-0.012956961443413087,0.035898961884459867
lh_caudalanteriorcingulate-rh_inferiortemporal,-0.017656078964183076,0.035040483777030264,-0.0016917841593937486,-0.04123579593443225,0.002645164340373956,0.0038875181126522213,-0.03612482482160997,0.01795154470852127,-0.02133989697163649,0.024734541225970078
lh_caudalanteriorcingulate-rh_isthmuscingulate,-0.024172697770234296,0.002414023964052927,-0.004036092258781586,-0.004629309876801968,0.016316832906005926,0.01404231053490369,-0.0011058978984623236,0.00565547806816195,-0.018919541318767087,0.01227672906785621
lh_caudalanteriorcingulate-rh_lateraloccipital,-0.02426340116757787,0.02040095599113552,-0.01319145377951297,-0.026261850166580437,0.005472663290180384,0.011203262234911098,-0.00766140023153765,-0.00485701858982277,-0.006221839329792463,0.04316868983530698
lh_caudalanteriorcingulate-rh_lateralorbitofrontal,-0.019757276348713687,0.031062236359378447,0.004989775771826188,-0.02461712133900532,0.011544044367613715,0.011322871142677843,-0.02784698219530935,0.012206992067082456,-0.03724888123179683,0.018562205751357766
lh_caudalanteriorcingulate-rh_lingual,-0.01765465407928267,-0.001018855145563462,-0.01839067073239282,0.009485536781478718,0.02576786319239293,0.004176901039676175,0.010014091328046182,-0.006942240751297403,0.002889190854626317,0.0066146698443875
