,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9
IC7-IC16,0.019226332182122014,0.0016116412423847009,0.01284150712347252,-0.011048642160989502,-0.06913367784906599,0.031198319720584997,0.033130931279715045,0.039590634404982686,0.10264629906008878
IC7-IC17,0.0715983694901023,-0.08831533215234201,-0.08506782431447016,-0.021411330892548146,-0.05030101380539798,-0.006917378275418289,0.08684716440312423,-0.029011920731962827,-0.02174716787317152
IC7-IC18,0.04101849477314358,-0.03387343082138969,-0.014473603418418312,-0.008867360003339425,-0.040052761583500615,0.009025200503800217,0.06693705408665307,-0.015326145078291964,-0.06637302968343459
IC7-IC19,0.10195861026301478,-0.03648074379615949,-0.0990270509587574,-0.023510144689871268,-0.0409743056737775,0.045660011616012214,0.009729252524486417,-0.04214095656926575,-0.07621565709726888
IC7-IC20,0.051461242525202185,-0.039043264932521686,-0.022908768916186432,-0.015805350432474805,0.005876701134745407,0.0011845553485653256,0.01172835744298526,0.03760301195038907,-0.042833633001749354
IC7-IC21,-0.016707285770503576,-0.00718746706084854,0.01247166903970501,-0.08189666338610542,-0.06233171545901878,0.05949272163904598,0.08876674434465837,-0.0943002161874901,0.08647442472337487
IC8-IC9,-0.10979049618072848,0.010287187847163025,0.03545774620063125,0.11609409784764455,0.059059535871647716,0.05690441303281558,-0.14463443670744255,-0.009420709920420723,-0.09933205607696512
IC8-IC10,0.046215820200824397,-0.04708114624752272,-0.0956675787035771,0.02398305149804481,-0.0344553753186079,-0.1392718453557633,0.16958016990485347,-0.07007458453600152,0.014277188290361427
IC8-IC11,-0.06265456155440496,0.10114604130988275,0.05593192015018542,-0.11543827920869172,0.060503708217950924,0.027749116716122176,0.08773912055010927,0.10340110241257562,-0.046405993719137846
IC8-IC12,0.004093534594482383,-0.0029211474920057823,0.0030600163787428635,0.024515991398098045,0.09343014512976741,-0.08256976928817833,0.004688511161496798,-0.0755306948156833,-0.1369294144683838
IC8-IC13,0.03590424528370732,-0.04779326072623418,-0.03692460173751436,-0.03393540747820992,0.11092646033056915,0.017359387185884333,-0.007670464695819301,-0.15313610451882004,0.05757794258524195
